Order_ID,Order_Date,Product_Name,Category,Region,Quantity,Unit_Price,Discount,Inventory_Available,Marketing_Spend,Revenue,Month,Quarter,Year
51,2024-01-04,Study Table,Furniture,South,3,21091,2,223,3444,63273,1,1,2024
52,2024-09-19,Wardrobe,Furniture,North,12,2458,1,52,6843,29496,9,3,2024
53,2024-12-27,Bed,Furniture,North,2,47092,4,116,4538,94184,12,4,2024
54,2023-06-23,Study Table,Furniture,West,3,26635,4,192,3731,79905,6,2,2023
55,2024-02-25,Bookshelf,Furniture,South,15,16578,3,236,1246,248670,2,1,2024
56,2023-12-25,Sofa,Furniture,South,10,20123,16,473,8808,201230,12,4,2023
57,2024-11-27,Office Chair,Furniture,West,2,38730,16,330,6863,77460,11,4,2024
58,2022-12-07,Bed,Furniture,West,7,18293,3,465,6349,128051,12,4,2022
59,2022-02-25,Bookshelf,Furniture,West,12,34763,4,69,8899,417156,2,1,2022
60,2025-11-29,Dining Table,Furniture,South,15,34880,8,342,8562,523200,11,4,2025
61,2025-08-17,Bookshelf,Furniture,North,1,17689,7,481,7989,17689,8,3,2025
62,2024-11-03,Wardrobe,Furniture,South,14,20549,18,186,7863,287686,11,4,2024
63,2025-07-31,Study Table,Furniture,North,15,28643,19,307,4611,429645,7,3,2025
64,2025-05-14,Wardrobe,Furniture,South,20,28338,6,179,8803,566760,5,2,2025
65,2023-07-06,Dining Table,Furniture,East,4,34150,18,226,2018,136600,7,3,2023
66,2025-02-28,Office Chair,Furniture,East,18,12867,3,201,8106,231606,2,1,2025
67,2022-12-13,Study Table,Furniture,West,17,25092,13,274,6603,426564,12,4,2022
68,2022-03-22,Sofa,Furniture,North,7,2516,8,343,5603,17612,3,1,2022
69,2025-03-29,Sofa,Furniture,West,2,17386,16,201,1135,34772,3,1,2025
70,2022-02-16,Dining Table,Furniture,East,3,10734,5,168,3769,32202,2,1,2022
71,2025-08-29,Bookshelf,Furniture,East,8,41017,8,328,4211,328136,8,3,2025
72,2022-02-04,Study Table,Furniture,East,17,33693,15,188,3482,572781,2,1,2022
73,2025-07-03,Dining Table,Furniture,West,13,13644,12,342,5829,177372,7,3,2025
74,2023-06-08,Bookshelf,Furniture,West,20,48625,1,400,9331,972500,6,2,2023
75,2023-08-01,Wardrobe,Furniture,South,2,5075,20,215,9410,10150,8,3,2023
76,2024-06-14,Coffee Table,Furniture,South,19,23688,5,457,8741,450072,6,2,2024
77,2025-05-31,Coffee Table,Furniture,West,6,43310,6,57,1102,259860,5,2,2025
78,2024-01-19,Sofa,Furniture,North,18,15712,17,440,6470,282816,1,1,2024
79,2024-05-29,Wardrobe,Furniture,East,11,24331,15,294,6994,267641,5,2,2024
80,2025-12-27,Office Chair,Furniture,North,9,16583,14,155,5423,149247,12,4,2025
81,2023-02-16,Bookshelf,Furniture,West,14,29398,5,115,9146,411572,2,1,2023
82,2022-03-26,Sofa,Furniture,West,5,21325,11,250,2132,106625,3,1,2022
83,2024-01-14,Sofa,Furniture,South,19,12183,8,286,5532,231477,1,1,2024
84,2023-09-21,Dining Table,Furniture,South,14,47893,6,100,3314,670502,9,3,2023
85,2025-03-14,Sofa,Furniture,West,8,21922,4,247,4057,175376,3,1,2025
86,2025-10-16,Study Table,Furniture,North,8,23342,2,394,4390,186736,10,4,2025
87,2022-04-02,Wardrobe,Furniture,North,11,29928,15,367,6772,329208,4,2,2022
88,2024-01-17,Bed,Furniture,South,12,24553,3,294,4961,294636,1,1,2024
89,2024-06-05,Study Table,Furniture,West,3,47145,3,290,4878,141435,6,2,2024
90,2025-08-10,Coffee Table,Furniture,North,4,8969,11,388,4842,35876,8,3,2025
91,2022-02-13,Bookshelf,Furniture,West,15,44824,0,144,1555,672360,2,1,2022
92,2025-07-15,Coffee Table,Furniture,West,16,19805,9,151,8773,316880,7,3,2025
93,2025-11-11,Dining Table,Furniture,West,20,42320,7,464,5834,846400,11,4,2025
94,2023-05-27,Study Table,Furniture,South,13,4554,18,196,9330,59202,5,2,2023
95,2023-11-01,Office Chair,Furniture,South,6,2580,5,152,3779,15480,11,4,2023
96,2023-08-26,Sofa,Furniture,West,14,5013,1,396,4556,70182,8,3,2023
97,2025-06-11,Sofa,Furniture,North,11,13897,12,467,7153,152867,6,2,2025
98,2022-05-25,Bookshelf,Furniture,East,19,33562,10,236,3171,637678,5,2,2022
99,2022-07-21,Wardrobe,Furniture,East,3,7343,10,110,5042,22029,7,3,2022
100,2025-03-23,Bookshelf,Furniture,South,6,9963,5,367,2526,59778,3,1,2025
101,2025-09-01,Wardrobe,Furniture,South,9,16577,6,335,2911,149193,9,3,2025
102,2025-06-12,Dining Table,Furniture,West,9,4727,7,360,7947,42543,6,2,2025
103,2023-08-17,Office Chair,Furniture,South,6,37829,17,123,7484,226974,8,3,2023
104,2024-07-06,Dining Table,Furniture,East,1,43370,18,251,8147,43370,7,3,2024
105,2022-03-05,Wardrobe,Furniture,North,6,49707,9,307,4010,298242,3,1,2022
106,2023-01-27,Study Table,Furniture,South,20,22102,15,389,3677,442040,1,1,2023
107,2025-07-06,Study Table,Furniture,West,9,21614,11,357,2264,194526,7,3,2025
108,2022-09-11,Dining Table,Furniture,East,14,43485,6,419,1184,608790,9,3,2022
109,2025-03-13,Dining Table,Furniture,West,5,6928,17,146,1474,34640,3,1,2025
110,2024-12-13,Office Chair,Furniture,West,20,3360,4,78,4447,67200,12,4,2024
111,2024-04-06,Bed,Furniture,West,15,25847,16,62,1617,387705,4,2,2024
112,2023-09-26,Bookshelf,Furniture,East,3,23445,13,316,1665,70335,9,3,2023
113,2023-09-28,Bookshelf,Furniture,South,6,28621,17,115,1964,171726,9,3,2023
114,2024-01-08,Coffee Table,Furniture,North,10,24625,13,87,9755,246250,1,1,2024
115,2024-08-19,Sofa,Furniture,East,15,26424,2,172,8682,396360,8,3,2024
116,2025-03-31,Office Chair,Furniture,West,20,32365,3,476,6666,647300,3,1,2025
117,2025-09-15,Bookshelf,Furniture,South,17,49928,9,238,8484,848776,9,3,2025
118,2025-04-06,Wardrobe,Furniture,West,9,49480,8,112,1702,445320,4,2,2025
119,2023-03-30,Study Table,Furniture,East,11,5657,15,314,8387,62227,3,1,2023
120,2023-01-19,Bed,Furniture,South,14,14552,19,210,2965,203728,1,1,2023
121,2022-05-22,Sofa,Furniture,East,19,37941,17,474,1249,720879,5,2,2022
122,2022-05-12,Dining Table,Furniture,West,16,37846,10,465,3069,605536,5,2,2022
123,2023-09-03,Office Chair,Furniture,South,20,30132,16,176,2696,602640,9,3,2023
124,2025-06-11,Wardrobe,Furniture,East,18,12655,3,186,8137,227790,6,2,2025
125,2025-01-26,Dining Table,Furniture,North,11,23889,2,214,9265,262779,1,1,2025
126,2022-09-27,Bed,Furniture,East,14,35557,8,133,5114,497798,9,3,2022
127,2023-11-01,Coffee Table,Furniture,East,3,24745,20,88,5799,74235,11,4,2023
128,2025-07-15,Wardrobe,Furniture,North,13,26795,1,333,1288,348335,7,3,2025
129,2024-10-20,Coffee Table,Furniture,North,4,30916,16,326,6826,123664,10,4,2024
130,2024-12-20,Dining Table,Furniture,North,15,3268,11,441,5665,49020,12,4,2024
131,2023-04-30,Wardrobe,Furniture,South,16,14080,15,297,9316,225280,4,2,2023
132,2023-03-13,Study Table,Furniture,North,1,16416,6,303,3572,16416,3,1,2023
133,2025-05-21,Dining Table,Furniture,West,4,26693,13,470,7390,106772,5,2,2025
134,2024-01-16,Office Chair,Furniture,South,2,26130,19,488,2428,52260,1,1,2024
135,2023-02-23,Wardrobe,Furniture,North,6,49898,2,267,6723,299388,2,1,2023
136,2025-10-07,Study Table,Furniture,West,8,19106,8,382,8762,152848,10,4,2025
137,2023-09-30,Bed,Furniture,East,2,6509,10,457,5511,13018,9,3,2023
138,2023-03-01,Bed,Furniture,South,9,4002,14,213,3432,36018,3,1,2023
139,2022-04-01,Sofa,Furniture,North,10,43002,10,153,5533,430020,4,2,2022
140,2022-04-10,Coffee Table,Furniture,East,19,17063,10,68,5344,324197,4,2,2022
141,2025-03-26,Bed,Furniture,South,12,17436,17,130,9024,209232,3,1,2025
142,2023-11-09,Study Table,Furniture,North,7,24373,0,426,8600,170611,11,4,2023
143,2025-10-30,Study Table,Furniture,South,19,42353,8,158,6902,804707,10,4,2025
144,2025-02-07,Bed,Furniture,East,12,47821,10,289,4539,573852,2,1,2025
145,2025-06-15,Sofa,Furniture,North,1,6076,17,314,2552,6076,6,2,2025
146,2025-01-01,Wardrobe,Furniture,East,2,35567,11,418,8575,71134,1,1,2025
147,2023-03-22,Dining Table,Furniture,South,4,33654,16,291,3590,134616,3,1,2023
148,2023-05-21,Bed,Furniture,East,4,36912,11,361,7981,147648,5,2,2023
149,2023-04-21,Coffee Table,Furniture,East,9,41098,19,202,6046,369882,4,2,2023
150,2024-05-15,Dining Table,Furniture,West,13,49514,7,342,5455,643682,5,2,2024
151,2025-09-01,Bookshelf,Furniture,West,19,44533,10,303,8662,846127,9,3,2025
152,2022-05-28,Study Table,Furniture,East,2,4264,3,379,2877,8528,5,2,2022
153,2024-06-03,Study Table,Furniture,West,19,2141,20,403,3985,40679,6,2,2024
154,2022-05-03,Bed,Furniture,East,4,31530,10,272,4166,126120,5,2,2022
155,2023-09-04,Office Chair,Furniture,North,5,17318,1,66,9310,86590,9,3,2023
156,2023-12-12,Office Chair,Furniture,West,3,13954,13,457,8732,41862,12,4,2023
157,2025-11-14,Coffee Table,Furniture,South,13,38288,8,483,2741,497744,11,4,2025
158,2023-12-27,Sofa,Furniture,West,4,44514,7,177,6811,178056,12,4,2023
159,2023-08-28,Bed,Furniture,North,19,14177,6,66,4913,269363,8,3,2023
160,2022-07-14,Sofa,Furniture,North,11,11847,4,374,4335,130317,7,3,2022
161,2024-02-15,Dining Table,Furniture,West,20,34449,20,292,2884,688980,2,1,2024
162,2024-06-01,Dining Table,Furniture,South,13,26266,16,155,9302,341458,6,2,2024
163,2022-12-11,Wardrobe,Furniture,South,3,29945,1,417,3386,89835,12,4,2022
164,2025-04-17,Wardrobe,Furniture,East,3,14603,3,292,7969,43809,4,2,2025
165,2025-04-20,Coffee Table,Furniture,North,1,8946,2,412,4360,8946,4,2,2025
166,2022-03-28,Office Chair,Furniture,North,13,22177,8,205,4765,288301,3,1,2022
167,2025-01-02,Bed,Furniture,West,4,2082,3,385,5806,8328,1,1,2025
168,2024-08-05,Sofa,Furniture,East,11,33167,0,387,1515,364837,8,3,2024
169,2025-04-26,Coffee Table,Furniture,East,12,12541,6,364,2107,150492,4,2,2025
170,2022-03-06,Sofa,Furniture,East,2,30897,14,321,5060,61794,3,1,2022
171,2023-10-19,Coffee Table,Furniture,North,6,28920,5,314,9081,173520,10,4,2023
172,2024-08-31,Study Table,Furniture,East,3,21216,18,420,9898,63648,8,3,2024
173,2022-04-29,Study Table,Furniture,East,19,14710,14,128,6165,279490,4,2,2022
174,2025-08-12,Study Table,Furniture,North,7,35024,7,481,4436,245168,8,3,2025
175,2022-08-22,Sofa,Furniture,South,2,30024,5,367,9979,60048,8,3,2022
176,2022-09-12,Dining Table,Furniture,East,19,9037,4,245,8703,171703,9,3,2022
177,2023-10-27,Bed,Furniture,East,5,13198,18,331,6883,65990,10,4,2023
178,2023-01-20,Sofa,Furniture,West,1,8576,9,244,4662,8576,1,1,2023
179,2025-04-17,Bed,Furniture,South,17,40850,14,188,6588,694450,4,2,2025
180,2025-06-19,Sofa,Furniture,North,17,35304,16,468,8310,600168,6,2,2025
181,2024-01-04,Dining Table,Furniture,South,8,32103,4,363,6959,256824,1,1,2024
182,2023-06-11,Study Table,Furniture,South,1,44544,20,303,5097,44544,6,2,2023
183,2022-10-03,Wardrobe,Furniture,East,16,7957,0,209,8658,127312,10,4,2022
184,2023-01-11,Bed,Furniture,West,4,46887,12,248,8409,187548,1,1,2023
185,2024-05-23,Study Table,Furniture,East,10,32570,9,204,6186,325700,5,2,2024
186,2025-02-06,Study Table,Furniture,East,12,5148,16,100,5862,61776,2,1,2025
187,2023-12-22,Study Table,Furniture,South,19,35468,18,134,2138,673892,12,4,2023
188,2025-04-03,Coffee Table,Furniture,South,8,13740,1,92,7232,109920,4,2,2025
189,2023-01-08,Wardrobe,Furniture,East,7,43165,19,92,1805,302155,1,1,2023
190,2023-01-29,Wardrobe,Furniture,West,3,23062,18,349,7929,69186,1,1,2023
191,2025-01-03,Office Chair,Furniture,West,14,24969,4,264,4208,349566,1,1,2025
192,2022-03-22,Office Chair,Furniture,West,13,27150,15,352,7584,352950,3,1,2022
193,2022-10-19,Dining Table,Furniture,West,1,38065,20,169,3420,38065,10,4,2022
194,2023-03-02,Bookshelf,Furniture,West,17,14625,1,212,1640,248625,3,1,2023
195,2024-04-03,Dining Table,Furniture,North,18,45199,10,199,7037,813582,4,2,2024
196,2022-07-29,Dining Table,Furniture,South,2,28012,10,179,3075,56024,7,3,2022
197,2024-03-09,Dining Table,Furniture,North,3,36993,13,109,7480,110979,3,1,2024
198,2025-09-28,Bed,Furniture,South,5,49904,3,292,6908,249520,9,3,2025
199,2023-06-28,Wardrobe,Furniture,South,16,19477,16,430,5759,311632,6,2,2023
200,2024-04-08,Bookshelf,Furniture,East,18,30198,13,398,9148,543564,4,2,2024
201,2024-03-09,Wardrobe,Furniture,South,12,4843,7,333,3668,58116,3,1,2024
202,2022-08-01,Bed,Furniture,South,13,32304,12,123,9292,419952,8,3,2022
203,2025-03-07,Office Chair,Furniture,West,16,14222,20,384,4160,227552,3,1,2025
204,2022-06-15,Bookshelf,Furniture,East,19,21381,0,379,4119,406239,6,2,2022
205,2024-07-05,Study Table,Furniture,West,12,8380,12,377,7348,100560,7,3,2024
206,2024-08-13,Bed,Furniture,East,11,19357,2,150,7195,212927,8,3,2024
207,2024-01-31,Wardrobe,Furniture,East,15,22825,7,177,5678,342375,1,1,2024
208,2022-11-27,Coffee Table,Furniture,East,7,7093,5,439,7480,49651,11,4,2022
209,2024-05-06,Dining Table,Furniture,South,16,18357,13,428,3518,293712,5,2,2024
210,2023-07-02,Office Chair,Furniture,West,6,16167,13,477,9901,97002,7,3,2023
211,2025-08-17,Bookshelf,Furniture,North,12,29393,18,88,4996,352716,8,3,2025
212,2023-10-10,Coffee Table,Furniture,North,3,43947,7,469,4288,131841,10,4,2023
213,2023-10-28,Bed,Furniture,West,3,43038,4,166,4662,129114,10,4,2023
214,2025-03-03,Dining Table,Furniture,East,9,13728,15,197,2610,123552,3,1,2025
215,2022-01-29,Office Chair,Furniture,North,15,5859,19,196,3543,87885,1,1,2022
216,2023-12-02,Bookshelf,Furniture,South,7,19856,14,345,1937,138992,12,4,2023
217,2025-04-28,Coffee Table,Furniture,East,14,46221,2,313,4871,647094,4,2,2025
218,2022-11-25,Sofa,Furniture,North,9,16966,14,472,9752,152694,11,4,2022
219,2022-11-09,Dining Table,Furniture,West,6,40725,12,172,5810,244350,11,4,2022
220,2025-06-19,Wardrobe,Furniture,East,10,29034,7,211,5995,290340,6,2,2025
221,2024-04-04,Study Table,Furniture,East,5,24558,5,153,6426,122790,4,2,2024
222,2024-05-20,Coffee Table,Furniture,East,15,31971,15,342,7957,479565,5,2,2024
223,2023-10-02,Office Chair,Furniture,South,8,15399,2,278,3200,123192,10,4,2023
224,2024-06-07,Wardrobe,Furniture,North,10,41742,18,394,9837,417420,6,2,2024
225,2025-09-21,Coffee Table,Furniture,South,2,27834,8,358,7712,55668,9,3,2025
226,2023-02-06,Bed,Furniture,East,8,4351,13,299,7009,34808,2,1,2023
227,2024-03-09,Study Table,Furniture,East,18,37738,3,361,2503,679284,3,1,2024
228,2022-03-20,Bookshelf,Furniture,West,3,42180,15,390,7801,126540,3,1,2022
229,2024-01-09,Bookshelf,Furniture,West,10,38752,8,485,7401,387520,1,1,2024
230,2025-04-08,Bed,Furniture,North,20,19023,13,235,2978,380460,4,2,2025
231,2022-03-20,Bed,Furniture,South,20,48579,4,465,6875,971580,3,1,2022
232,2025-04-15,Dining Table,Furniture,North,6,25662,5,98,5786,153972,4,2,2025
233,2022-05-03,Bookshelf,Furniture,East,11,25298,2,457,1458,278278,5,2,2022
234,2024-06-26,Dining Table,Furniture,East,19,3916,13,205,1629,74404,6,2,2024
235,2023-05-07,Dining Table,Furniture,North,13,25229,3,457,5832,327977,5,2,2023
236,2024-08-12,Bed,Furniture,West,1,19031,18,235,2270,19031,8,3,2024
237,2023-07-15,Bookshelf,Furniture,East,5,42814,15,495,3168,214070,7,3,2023
238,2024-07-08,Dining Table,Furniture,South,10,25509,14,250,5001,255090,7,3,2024
239,2025-07-23,Wardrobe,Furniture,South,11,5042,1,292,9158,55462,7,3,2025
240,2022-07-16,Wardrobe,Furniture,West,10,24394,12,342,9122,243940,7,3,2022
241,2023-05-11,Coffee Table,Furniture,South,20,45884,2,258,8185,917680,5,2,2023
242,2025-12-25,Office Chair,Furniture,West,9,45456,16,271,8251,409104,12,4,2025
243,2024-09-12,Bed,Furniture,East,13,32006,14,386,7231,416078,9,3,2024
244,2024-08-22,Sofa,Furniture,North,13,48332,20,373,3572,628316,8,3,2024
245,2022-12-19,Dining Table,Furniture,North,3,46141,19,124,4160,138423,12,4,2022
246,2022-08-07,Dining Table,Furniture,North,6,7427,9,134,6638,44562,8,3,2022
247,2025-10-28,Wardrobe,Furniture,South,13,7241,5,287,7189,94133,10,4,2025
248,2024-07-03,Coffee Table,Furniture,East,3,16743,16,281,4718,50229,7,3,2024
249,2022-08-05,Sofa,Furniture,East,7,8640,0,323,7504,60480,8,3,2022
250,2024-04-15,Study Table,Furniture,West,13,43494,3,273,3016,565422,4,2,2024
251,2023-09-26,Bed,Furniture,South,3,48650,11,215,9396,145950,9,3,2023
252,2025-11-21,Office Chair,Furniture,West,2,25303,11,383,3197,50606,11,4,2025
253,2025-07-14,Bookshelf,Furniture,East,18,10691,16,367,6199,192438,7,3,2025
254,2023-09-08,Coffee Table,Furniture,North,6,47939,18,113,9503,287634,9,3,2023
255,2025-03-07,Sofa,Furniture,East,3,27323,1,340,4799,81969,3,1,2025
256,2022-06-07,Sofa,Furniture,East,15,27218,2,304,6400,408270,6,2,2022
257,2024-10-19,Study Table,Furniture,North,5,9092,7,157,9037,45460,10,4,2024
258,2024-03-29,Bed,Furniture,West,3,20933,15,405,1410,62799,3,1,2024
259,2025-11-12,Bookshelf,Furniture,West,17,8226,15,331,4726,139842,11,4,2025
260,2025-02-17,Coffee Table,Furniture,South,13,31601,5,394,4805,410813,2,1,2025
261,2022-09-14,Study Table,Furniture,North,12,10738,10,215,6368,128856,9,3,2022
262,2022-08-12,Wardrobe,Furniture,West,4,40684,17,171,4981,162736,8,3,2022
263,2024-12-19,Bookshelf,Furniture,North,12,40288,17,420,6994,483456,12,4,2024
264,2022-08-29,Wardrobe,Furniture,North,11,40186,3,429,2278,442046,8,3,2022
265,2024-04-17,Bed,Furniture,East,2,36394,5,446,2018,72788,4,2,2024
266,2023-09-05,Bed,Furniture,West,13,31429,5,342,3764,408577,9,3,2023
267,2023-10-17,Coffee Table,Furniture,East,7,48618,0,135,3827,340326,10,4,2023
268,2025-10-15,Bed,Furniture,North,16,38611,6,394,7066,617776,10,4,2025
269,2025-11-23,Dining Table,Furniture,South,3,8747,3,316,7578,26241,11,4,2025
270,2025-12-14,Wardrobe,Furniture,West,6,39551,10,111,8095,237306,12,4,2025
271,2024-09-02,Bed,Furniture,East,10,16356,3,103,2280,163560,9,3,2024
272,2025-07-20,Bookshelf,Furniture,North,13,14615,7,370,1551,189995,7,3,2025
273,2025-12-04,Bookshelf,Furniture,South,13,48548,19,206,7510,631124,12,4,2025
274,2024-10-08,Bookshelf,Furniture,North,14,45160,1,439,6448,632240,10,4,2024
275,2025-04-03,Study Table,Furniture,South,17,10721,4,94,2541,182257,4,2,2025
276,2022-09-29,Study Table,Furniture,North,20,38476,14,323,1974,769520,9,3,2022
277,2022-10-21,Sofa,Furniture,South,17,29976,7,352,1698,509592,10,4,2022
278,2023-11-12,Office Chair,Furniture,South,14,26115,15,496,7415,365610,11,4,2023
279,2024-07-07,Office Chair,Furniture,South,13,40694,7,60,5516,529022,7,3,2024
280,2022-06-17,Dining Table,Furniture,South,7,23933,6,368,1972,167531,6,2,2022
281,2023-08-23,Study Table,Furniture,West,6,23373,8,108,1565,140238,8,3,2023
282,2022-09-27,Coffee Table,Furniture,North,20,11667,15,433,7007,233340,9,3,2022
283,2024-05-29,Dining Table,Furniture,North,19,43870,12,378,3382,833530,5,2,2024
284,2024-11-18,Coffee Table,Furniture,South,16,34247,19,380,3175,547952,11,4,2024
285,2024-02-05,Office Chair,Furniture,East,11,10834,8,357,9210,119174,2,1,2024
286,2023-10-18,Wardrobe,Furniture,West,19,28241,9,424,3035,536579,10,4,2023
287,2022-07-23,Sofa,Furniture,South,10,35667,17,145,4352,356670,7,3,2022
288,2024-07-26,Bookshelf,Furniture,South,8,33090,11,140,3278,264720,7,3,2024
289,2022-04-10,Study Table,Furniture,East,2,18932,6,375,7458,37864,4,2,2022
290,2024-10-05,Dining Table,Furniture,West,1,9349,15,54,9341,9349,10,4,2024
291,2023-04-20,Office Chair,Furniture,East,1,10726,6,393,1408,10726,4,2,2023
292,2025-01-22,Bed,Furniture,North,3,29544,15,388,1563,88632,1,1,2025
293,2024-08-13,Study Table,Furniture,South,20,11527,16,177,2250,230540,8,3,2024
294,2024-09-03,Office Chair,Furniture,East,17,9328,17,95,7275,158576,9,3,2024
295,2024-03-01,Coffee Table,Furniture,East,9,48007,18,497,6201,432063,3,1,2024
296,2025-09-26,Study Table,Furniture,West,18,9627,20,133,2848,173286,9,3,2025
297,2024-06-20,Coffee Table,Furniture,West,15,48062,5,66,1343,720930,6,2,2024
298,2025-05-01,Dining Table,Furniture,South,7,15271,10,466,5142,106897,5,2,2025
299,2023-02-26,Wardrobe,Furniture,South,5,37384,3,387,9947,186920,2,1,2023
300,2024-05-09,Wardrobe,Furniture,South,1,37091,1,456,8031,37091,5,2,2024
301,2024-12-17,Coffee Table,Furniture,West,18,14873,10,444,6013,267714,12,4,2024
302,2022-01-03,Dining Table,Furniture,South,7,47682,0,141,3034,333774,1,1,2022
303,2025-05-03,Study Table,Furniture,South,20,36670,6,134,6446,733400,5,2,2025
304,2022-03-10,Study Table,Furniture,South,18,27935,9,205,3979,502830,3,1,2022
305,2023-03-18,Office Chair,Furniture,West,2,46565,4,152,2291,93130,3,1,2023
306,2025-08-12,Study Table,Furniture,North,9,34482,11,320,1868,310338,8,3,2025
307,2025-05-24,Bookshelf,Furniture,North,19,19747,10,494,5377,375193,5,2,2025
308,2023-11-14,Study Table,Furniture,North,13,11381,13,278,5047,147953,11,4,2023
309,2025-01-20,Study Table,Furniture,East,16,27141,1,485,2115,434256,1,1,2025
310,2025-11-19,Bookshelf,Furniture,North,7,34961,5,205,6630,244727,11,4,2025
311,2022-12-26,Bed,Furniture,West,2,20198,11,383,2064,40396,12,4,2022
312,2025-10-07,Sofa,Furniture,West,13,22527,19,311,2246,292851,10,4,2025
313,2023-06-27,Office Chair,Furniture,West,13,8464,3,115,6310,110032,6,2,2023
314,2022-05-31,Dining Table,Furniture,East,5,6370,11,183,7173,31850,5,2,2022
315,2024-03-14,Coffee Table,Furniture,North,20,11974,3,59,3827,239480,3,1,2024
