Order_ID,Order_Date,Product_Name,Category,Region,Quantity,Unit_Price,Discount,Inventory_Available,Marketing_Spend,Revenue
160,2022-07-14,Sofa,Furniture,North,11,11847,4,374,4335,130317
161,2024-02-15,Dining Table,Furniture,West,20,34449,20,292,2884,688980
162,2024-06-01,Dining Table,Furniture,South,13,26266,16,155,9302,341458
163,2022-12-11,Wardrobe,Furniture,South,3,29945,1,417,3386,89835
164,2025-04-17,Wardrobe,Furniture,East,3,14603,3,292,7969,43809
165,2025-04-20,Coffee Table,Furniture,North,1,8946,2,412,4360,8946
166,2022-03-28,Office Chair,Furniture,North,13,22177,8,205,4765,288301
167,2025-01-02,Bed,Furniture,West,4,2082,3,385,5806,8328
168,2024-08-05,Sofa,Furniture,East,11,33167,0,387,1515,364837
169,2025-04-26,Coffee Table,Furniture,East,12,12541,6,364,2107,150492
170,2022-03-06,Sofa,Furniture,East,2,30897,14,321,5060,61794
171,2023-10-19,Coffee Table,Furniture,North,6,28920,5,314,9081,173520
172,2024-08-31,Study Table,Furniture,East,3,21216,18,420,9898,63648
173,2022-04-29,Study Table,Furniture,East,19,14710,14,128,6165,279490
174,2025-08-12,Study Table,Furniture,North,7,35024,7,481,4436,245168
175,2022-08-22,Sofa,Furniture,South,2,30024,5,367,9979,60048
176,2022-09-12,Dining Table,Furniture,East,19,9037,4,245,8703,171703
177,2023-10-27,Bed,Furniture,East,5,13198,18,331,6883,65990
178,2023-01-20,Sofa,Furniture,West,1,8576,9,244,4662,8576
179,2025-04-17,Bed,Furniture,South,17,40850,14,188,6588,694450
180,2025-06-19,Sofa,Furniture,North,17,35304,16,468,8310,600168
181,2024-01-04,Dining Table,Furniture,South,8,32103,4,363,6959,256824
182,2023-06-11,Study Table,Furniture,South,1,44544,20,303,5097,44544
183,2022-10-03,Wardrobe,Furniture,East,16,7957,0,209,8658,127312
184,2023-01-11,Bed,Furniture,West,4,46887,12,248,8409,187548
185,2024-05-23,Study Table,Furniture,East,10,32570,9,204,6186,325700
186,2025-02-06,Study Table,Furniture,East,12,5148,16,100,5862,61776
187,2023-12-22,Study Table,Furniture,South,19,35468,18,134,2138,673892
188,2025-04-03,Coffee Table,Furniture,South,8,13740,1,92,7232,109920
189,2023-01-08,Wardrobe,Furniture,East,7,43165,19,92,1805,302155
190,2023-01-29,Wardrobe,Furniture,West,3,23062,18,349,7929,69186
191,2025-01-03,Office Chair,Furniture,West,14,24969,4,264,4208,349566
192,2022-03-22,Office Chair,Furniture,West,13,27150,15,352,7584,352950
193,2022-10-19,Dining Table,Furniture,West,1,38065,20,169,3420,38065
194,2023-03-02,Bookshelf,Furniture,West,17,14625,1,212,1640,248625
195,2024-04-03,Dining Table,Furniture,North,18,45199,10,199,7037,813582
196,2022-07-29,Dining Table,Furniture,South,2,28012,10,179,3075,56024
197,2024-03-09,Dining Table,Furniture,North,3,36993,13,109,7480,110979
198,2025-09-28,Bed,Furniture,South,5,49904,3,292,6908,249520
199,2023-06-28,Wardrobe,Furniture,South,16,19477,16,430,5759,311632
200,2024-04-08,Bookshelf,Furniture,East,18,30198,13,398,9148,543564
201,2024-03-09,Wardrobe,Furniture,South,12,4843,7,333,3668,58116
202,2022-08-01,Bed,Furniture,South,13,32304,12,123,9292,419952
203,2025-03-07,Office Chair,Furniture,West,16,14222,20,384,4160,227552
204,2022-06-15,Bookshelf,Furniture,East,19,21381,0,379,4119,406239
205,2024-07-05,Study Table,Furniture,West,12,8380,12,377,7348,100560
206,2024-08-13,Bed,Furniture,East,11,19357,2,150,7195,212927
207,2024-01-31,Wardrobe,Furniture,East,15,22825,7,177,5678,342375
208,2022-11-27,Coffee Table,Furniture,East,7,7093,5,439,7480,49651
209,2024-05-06,Dining Table,Furniture,South,16,18357,13,428,3518,293712
210,2023-07-02,Office Chair,Furniture,West,6,16167,13,477,9901,97002
211,2025-08-17,Bookshelf,Furniture,North,12,29393,18,88,4996,352716
212,2023-10-10,Coffee Table,Furniture,North,3,43947,7,469,4288,131841
213,2023-10-28,Bed,Furniture,West,3,43038,4,166,4662,129114
214,2025-03-03,Dining Table,Furniture,East,9,13728,15,197,2610,123552
215,2022-01-29,Office Chair,Furniture,North,15,5859,19,196,3543,87885
216,2023-12-02,Bookshelf,Furniture,South,7,19856,14,345,1937,138992
217,2025-04-28,Coffee Table,Furniture,East,14,46221,2,313,4871,647094
218,2022-11-25,Sofa,Furniture,North,9,16966,14,472,9752,152694
219,2022-11-09,Dining Table,Furniture,West,6,40725,12,172,5810,244350
220,2025-06-19,Wardrobe,Furniture,East,10,29034,7,211,5995,290340
221,2024-04-04,Study Table,Furniture,East,5,24558,5,153,6426,122790
222,2024-05-20,Coffee Table,Furniture,East,15,31971,15,342,7957,479565
223,2023-10-02,Office Chair,Furniture,South,8,15399,2,278,3200,123192
224,2024-06-07,Wardrobe,Furniture,North,10,41742,18,394,9837,417420
225,2025-09-21,Coffee Table,Furniture,South,2,27834,8,358,7712,55668
226,2023-02-06,Bed,Furniture,East,8,4351,13,299,7009,34808
227,2024-03-09,Study Table,Furniture,East,18,37738,3,361,2503,679284
228,2022-03-20,Bookshelf,Furniture,West,3,42180,15,390,7801,126540
229,2024-01-09,Bookshelf,Furniture,West,10,38752,8,485,7401,387520
230,2025-04-08,Bed,Furniture,North,20,19023,13,235,2978,380460
231,2022-03-20,Bed,Furniture,South,20,48579,4,465,6875,971580
232,2025-04-15,Dining Table,Furniture,North,6,25662,5,98,5786,153972
233,2022-05-03,Bookshelf,Furniture,East,11,25298,2,457,1458,278278
234,2024-06-26,Dining Table,Furniture,East,19,3916,13,205,1629,74404
235,2023-05-07,Dining Table,Furniture,North,13,25229,3,457,5832,327977
236,2024-08-12,Bed,Furniture,West,1,19031,18,235,2270,19031
237,2023-07-15,Bookshelf,Furniture,East,5,42814,15,495,3168,214070
238,2024-07-08,Dining Table,Furniture,South,10,25509,14,250,5001,255090
239,2025-07-23,Wardrobe,Furniture,South,11,5042,1,292,9158,55462
240,2022-07-16,Wardrobe,Furniture,West,10,24394,12,342,9122,243940
241,2023-05-11,Coffee Table,Furniture,South,20,45884,2,258,8185,917680
242,2025-12-25,Office Chair,Furniture,West,9,45456,16,271,8251,409104
243,2024-09-12,Bed,Furniture,East,13,32006,14,386,7231,416078
244,2024-08-22,Sofa,Furniture,North,13,48332,20,373,3572,628316
245,2022-12-19,Dining Table,Furniture,North,3,46141,19,124,4160,138423
246,2022-08-07,Dining Table,Furniture,North,6,7427,9,134,6638,44562
247,2025-10-28,Wardrobe,Furniture,South,13,7241,5,287,7189,94133
248,2024-07-03,Coffee Table,Furniture,East,3,16743,16,281,4718,50229
249,2022-08-05,Sofa,Furniture,East,7,8640,0,323,7504,60480
250,2024-04-15,Study Table,Furniture,West,13,43494,3,273,3016,565422
251,2023-09-26,Bed,Furniture,South,3,48650,11,215,9396,145950
252,2025-11-21,Office Chair,Furniture,West,2,25303,11,383,3197,50606
253,2025-07-14,Bookshelf,Furniture,East,18,10691,16,367,6199,192438
254,2023-09-08,Coffee Table,Furniture,North,6,47939,18,113,9503,287634
255,2025-03-07,Sofa,Furniture,East,3,27323,1,340,4799,81969
256,2022-06-07,Sofa,Furniture,East,15,27218,2,304,6400,408270
257,2024-10-19,Study Table,Furniture,North,5,9092,7,157,9037,45460
258,2024-03-29,Bed,Furniture,West,3,20933,15,405,1410,62799
259,2025-11-12,Bookshelf,Furniture,West,17,8226,15,331,4726,139842
260,2025-02-17,Coffee Table,Furniture,South,13,31601,5,394,4805,410813
261,2022-09-14,Study Table,Furniture,North,12,10738,10,215,6368,128856
262,2022-08-12,Wardrobe,Furniture,West,4,40684,17,171,4981,162736
263,2024-12-19,Bookshelf,Furniture,North,12,40288,17,420,6994,483456
264,2022-08-29,Wardrobe,Furniture,North,11,40186,3,429,2278,442046
265,2024-04-17,Bed,Furniture,East,2,36394,5,446,2018,72788
266,2023-09-05,Bed,Furniture,West,13,31429,5,342,3764,408577
267,2023-10-17,Coffee Table,Furniture,East,7,48618,0,135,3827,340326
268,2025-10-15,Bed,Furniture,North,16,38611,6,394,7066,617776
269,2025-11-23,Dining Table,Furniture,South,3,8747,3,316,7578,26241
270,2025-12-14,Wardrobe,Furniture,West,6,39551,10,111,8095,237306
271,2024-09-02,Bed,Furniture,East,10,16356,3,103,2280,163560
272,2025-07-20,Bookshelf,Furniture,North,13,14615,7,370,1551,189995
273,2025-12-04,Bookshelf,Furniture,South,13,48548,19,206,7510,631124
274,2024-10-08,Bookshelf,Furniture,North,14,45160,1,439,6448,632240
275,2025-04-03,Study Table,Furniture,South,17,10721,4,94,2541,182257
276,2022-09-29,Study Table,Furniture,North,20,38476,14,323,1974,769520
277,2022-10-21,Sofa,Furniture,South,17,29976,7,352,1698,509592
278,2023-11-12,Office Chair,Furniture,South,14,26115,15,496,7415,365610
279,2024-07-07,Office Chair,Furniture,South,13,40694,7,60,5516,529022
280,2022-06-17,Dining Table,Furniture,South,7,23933,6,368,1972,167531
281,2023-08-23,Study Table,Furniture,West,6,23373,8,108,1565,140238
282,2022-09-27,Coffee Table,Furniture,North,20,11667,15,433,7007,233340
283,2024-05-29,Dining Table,Furniture,North,19,43870,12,378,3382,833530
284,2024-11-18,Coffee Table,Furniture,South,16,34247,19,380,3175,547952
285,2024-02-05,Office Chair,Furniture,East,11,10834,8,357,9210,119174
286,2023-10-18,Wardrobe,Furniture,West,19,28241,9,424,3035,536579
287,2022-07-23,Sofa,Furniture,South,10,35667,17,145,4352,356670
288,2024-07-26,Bookshelf,Furniture,South,8,33090,11,140,3278,264720
289,2022-04-10,Study Table,Furniture,East,2,18932,6,375,7458,37864
290,2024-10-05,Dining Table,Furniture,West,1,9349,15,54,9341,9349
291,2023-04-20,Office Chair,Furniture,East,1,10726,6,393,1408,10726
292,2025-01-22,Bed,Furniture,North,3,29544,15,388,1563,88632
293,2024-08-13,Study Table,Furniture,South,20,11527,16,177,2250,230540
294,2024-09-03,Office Chair,Furniture,East,17,9328,17,95,7275,158576
295,2024-03-01,Coffee Table,Furniture,East,9,48007,18,497,6201,432063
296,2025-09-26,Study Table,Furniture,West,18,9627,20,133,2848,173286
297,2024-06-20,Coffee Table,Furniture,West,15,48062,5,66,1343,720930
298,2025-05-01,Dining Table,Furniture,South,7,15271,10,466,5142,106897
299,2023-02-26,Wardrobe,Furniture,South,5,37384,3,387,9947,186920
300,2024-05-09,Wardrobe,Furniture,South,1,37091,1,456,8031,37091
301,2024-12-17,Coffee Table,Furniture,West,18,14873,10,444,6013,267714
302,2022-01-03,Dining Table,Furniture,South,7,47682,0,141,3034,333774
303,2025-05-03,Study Table,Furniture,South,20,36670,6,134,6446,733400
304,2022-03-10,Study Table,Furniture,South,18,27935,9,205,3979,502830
305,2023-03-18,Office Chair,Furniture,West,2,46565,4,152,2291,93130
306,2025-08-12,Study Table,Furniture,North,9,34482,11,320,1868,310338
307,2025-05-24,Bookshelf,Furniture,North,19,19747,10,494,5377,375193
308,2023-11-14,Study Table,Furniture,North,13,11381,13,278,5047,147953
309,2025-01-20,Study Table,Furniture,East,16,27141,1,485,2115,434256
310,2025-11-19,Bookshelf,Furniture,North,7,34961,5,205,6630,244727
311,2022-12-26,Bed,Furniture,West,2,20198,11,383,2064,40396
312,2025-10-07,Sofa,Furniture,West,13,22527,19,311,2246,292851
313,2023-06-27,Office Chair,Furniture,West,13,8464,3,115,6310,110032
314,2022-05-31,Dining Table,Furniture,East,5,6370,11,183,7173,31850
315,2024-03-14,Coffee Table,Furniture,North,20,11974,3,59,3827,239480
316,2024-06-10,Bed,Furniture,South,7,20720,19,201,2701,145040
317,2024-02-03,Coffee Table,Furniture,West,10,47561,4,244,3599,475610
318,2024-12-12,Wardrobe,Furniture,North,17,35535,13,296,2412,604095
319,2025-06-06,Study Table,Furniture,East,7,20473,8,127,5664,143311
320,2024-04-05,Sofa,Furniture,East,16,40754,16,237,5109,652064
321,2022-01-17,Coffee Table,Furniture,West,18,46656,1,99,1891,839808
322,2022-03-26,Study Table,Furniture,North,17,46432,9,270,1251,789344
323,2023-09-29,Study Table,Furniture,North,9,29269,3,96,7555,263421
324,2024-04-06,Coffee Table,Furniture,North,9,48188,20,184,3810,433692
325,2022-09-23,Study Table,Furniture,North,10,7236,8,419,4580,72360
326,2024-10-07,Bed,Furniture,North,2,27763,16,376,6320,55526
327,2025-04-16,Sofa,Furniture,North,7,6554,15,436,2425,45878
328,2023-11-08,Bed,Furniture,South,11,9611,15,452,3777,105721
329,2022-04-18,Bookshelf,Furniture,North,17,45383,7,341,1227,771511
330,2024-07-15,Study Table,Furniture,South,20,25806,4,58,6276,516120
331,2022-07-01,Office Chair,Furniture,East,11,20531,4,333,3164,225841
332,2024-01-03,Study Table,Furniture,East,1,44580,7,352,3990,44580
333,2023-08-08,Dining Table,Furniture,South,4,16814,8,146,2073,67256
334,2024-10-31,Bookshelf,Furniture,South,6,40782,17,356,4982,244692
335,2024-04-21,Wardrobe,Furniture,West,16,22513,9,403,1565,360208
336,2023-10-15,Dining Table,Furniture,West,16,25196,3,73,9978,403136
337,2025-03-15,Study Table,Furniture,South,3,11534,1,136,7352,34602
338,2023-10-21,Study Table,Furniture,East,12,33218,7,264,8573,398616
339,2023-10-19,Wardrobe,Furniture,East,4,25846,11,453,3644,103384
340,2023-01-12,Sofa,Furniture,East,2,43751,13,298,2178,87502
341,2025-01-26,Coffee Table,Furniture,East,11,46283,11,461,4213,509113
342,2025-06-06,Bed,Furniture,West,5,39815,14,54,3637,199075
343,2024-05-07,Coffee Table,Furniture,North,8,45441,2,111,7092,363528
344,2024-08-13,Coffee Table,Furniture,North,2,12393,13,53,7522,24786
345,2024-12-22,Coffee Table,Furniture,West,2,14493,6,248,4227,28986
346,2023-07-28,Bed,Furniture,South,18,14657,1,211,3183,263826
347,2025-08-30,Dining Table,Furniture,West,16,49153,3,328,8097,786448
348,2023-12-06,Office Chair,Furniture,West,15,47272,11,183,6987,709080
349,2025-08-24,Sofa,Furniture,East,1,47222,8,465,3798,47222
350,2023-11-24,Bed,Furniture,West,15,5194,12,409,4988,77910
351,2024-03-20,Study Table,Furniture,East,1,21159,2,157,7449,21159
352,2022-10-29,Bed,Furniture,East,18,14277,14,116,8083,256986
353,2022-02-21,Wardrobe,Furniture,East,8,3839,5,416,2281,30712
354,2024-04-02,Coffee Table,Furniture,North,18,38470,0,348,4591,692460
355,2025-07-15,Bookshelf,Furniture,East,9,40954,15,236,9382,368586
356,2023-09-25,Wardrobe,Furniture,East,8,12501,15,163,7817,100008
357,2025-02-07,Office Chair,Furniture,South,14,11225,19,98,9781,157150
358,2023-09-07,Sofa,Furniture,East,4,10449,19,395,9253,41796
359,2023-05-09,Sofa,Furniture,North,3,28731,15,160,3142,86193
360,2023-05-26,Office Chair,Furniture,West,9,7068,9,110,5375,63612
361,2022-12-07,Bed,Furniture,South,19,21900,7,251,8039,416100
362,2023-08-30,Bookshelf,Furniture,North,12,6235,13,465,1703,74820
363,2024-10-23,Bed,Furniture,West,3,8765,19,242,3026,26295
364,2024-06-24,Wardrobe,Furniture,South,17,35321,19,61,8603,600457
365,2022-02-12,Study Table,Furniture,South,7,41743,19,61,9267,292201
366,2024-05-29,Sofa,Furniture,North,12,34376,14,199,3480,412512
367,2024-08-11,Coffee Table,Furniture,West,20,19207,10,314,9361,384140
368,2022-10-31,Dining Table,Furniture,South,15,15782,19,426,7553,236730
369,2023-10-30,Bookshelf,Furniture,South,20,48961,0,363,4926,979220
370,2023-04-06,Bookshelf,Furniture,West,13,7370,4,370,9449,95810
371,2024-03-12,Office Chair,Furniture,South,14,28054,16,477,3893,392756
372,2023-03-06,Dining Table,Furniture,East,3,45044,0,246,5013,135132
373,2023-09-01,Coffee Table,Furniture,West,17,28397,4,308,3908,482749
374,2024-12-31,Wardrobe,Furniture,East,18,42166,17,109,6683,758988
375,2024-02-01,Dining Table,Furniture,North,6,11732,0,112,5816,70392
376,2025-10-12,Bed,Furniture,North,15,14829,14,247,7416,222435
